Name,Price,Link,Description
DANCIN' MITTEN BLADE HEAD COVER - WHITE,$49.99 USD,https://detroitputterco.com/products/detroit-putter-co-blade-head-cover-dancing-mitten,"The Dancin' Mitten headcover is a limited edition blade-style putter headcover that features Michigan's infamous silhouette. The design also includes dancing mittens adding a fun and unique touch. The headcover is designed with a strong magnetic closure and plush interior fabric to protect your putter head from scratches and dings. This headcover is the perfect way to show off your love for Michigan while on the course. Whether you’re looking to sport your state spirit or just admire our quirky design, this headcover will have you dancin’ on the green after sinking that winning putt!"
DANCIN' MITTEN BLADE HEAD COVER - LIMITED EDITION COLORS,$49.99 USD,https://detroitputterco.com/products/dancin-mitten-blade-head-cover-limited-edition-colors,"The Dancin' Mitten headcover is a limited edition blade-style putter headcover that features Michigan's infamous silhouette. The design also includes dancing mittens adding a fun and unique touch. The headcover is designed with a strong magnetic closure and plush interior fabric to protect your putter head from scratches and dings. This headcover is the perfect way to show off your love for Michigan while on the course. Whether you’re looking to sport your state spirit or just admire our quirky design, this headcover will have you dancin’ on the green after sinking that winning putt!"
DANCIN' MITTEN BLADE HEAD COVER - BLACK,$49.99 USD,https://detroitputterco.com/products/dancin-mitten-blade-head-cover-limited-edition,"The Dancin' Mitten headcover is a limited edition blade-style putter headcover that features Michigan's infamous silhouette on a soft black and white design. The design also includes dancing mittens adding a fun and unique touch. The headcover is designed with a strong magnetic closure and plush interior fabric to protect your putter head from scratches and dings. This headcover is the perfect way to show off your love for Michigan while on the course. Whether you’re looking to sport your state spirit or just admire our quirky design, this headcover will have you dancin’ on the green after sinking that winning putt!"
DANCIN' MITTEN MALLET HEAD COVER - LIMITED EDITION,$49.99 USD,https://detroitputterco.com/products/dancin-mitten-mallet-head-cover-limited-edition,"The Dancin' Mitten headcover is a limited edition mallet-style putter headcover that features Michigan's infamous silhouette on a soft white and black design. The design also includes dancing mittens adding a fun and unique touch. The headcover is designed with a strong magnetic closure and plush interior fabric to protect your putter head from scratches and dings. This headcover is the perfect way to show off your love for Michigan while on the course. Whether you’re looking to sport your state spirit or just admire our quirky design, this headcover will have you dancin’ on the green after sinking that winning putt! NOTE: THIS HEADCOVER DOES NOT FIT CENTER SHAFTED MALLETS AS MAGNETIC CLOSURE IS IN THE CENTER OF THE HEADCOVER."
DANCIN' MITTEN MALLET HEAD COVER - LIMITED EDITION COLORS,$49.99 USD,https://detroitputterco.com/products/dancin-mitten-mallet-head-cover-new-limited-edition-colors,"The Dancin' Mitten headcover is a limited edition mallet-style putter headcover that features Michigan's infamous silhouette. The design also includes dancing mittens adding a fun and unique touch. The headcover is designed with a strong magnetic closure and plush interior fabric to protect your putter head from scratches and dings. This headcover is the perfect way to show off your love for Michigan while on the course. Whether you’re looking to sport your state spirit or just admire our quirky design, this headcover will have you dancin’ on the green after sinking that winning putt!"
"CLASSIC CADDY GOLF TOWEL 22"" x 44""",$29.99 USD,https://detroitputterco.com/products/classic-caddy-golf-towel-22-x-44-ships-by-3-25,"Extra Large Ribbed Towel Size: 22"" x 44"" Ribbed Texture Excels at Removing Dirt, Mud, & Other Debris Soft Terry Cloth Absorbent and Quick Drying"
"WAFFLE WEAVE MICROFIBER GOLF TOWEL 16"" x 32""",$29.99 USD,https://detroitputterco.com/products/waffle-weave-microfiber-golf-towel,"Size: 16"" x 32"" Strap Handle Absorbent and Quick Drying Mold and Mildew Resistant"
PUTTER GRIP,$24.99 USD,https://detroitputterco.com/products/putter-grip,"Mid-sized pistol shape Flat front face Core: .58"" Length: 10-5/8"""
THE 313 DANCIN' MITTEN BLADE HEAD COVER,$49.99 USD,https://detroitputterco.com/products/the-313-dancin-mitten-blade-head-cover,"The Dancin' Mitten headcover is a limited edition blade-style putter headcover that features Michigan's infamous silhouette. The design also includes dancing mittens adding a fun and unique touch. The headcover is designed with a strong magnetic closure and plush interior fabric to protect your putter head from scratches and dings. This headcover is the perfect way to show off your love for Michigan while on the course. Whether you’re looking to sport your state spirit or just admire our quirky design, this headcover will have you dancin’ on the green after sinking that winning putt!"
DANCIN' 'D' MALLET HEAD COVER - BLACK,$49.99 USD,https://detroitputterco.com/products/navy-dancin-mitten-mallet-head-cover,"The Dancin' 'D' headcover is a limited-edition mallet-style putter headcover that features DPC's newest 'D' icon on a soft black and white design. The headcover is designed with a strong magnetic closure and plush interior fabric to protect your putter head from scratches and dings. Whether you’re looking to sport your city spirit or just admire our quirky design, this headcover will have you dancin’ on the green after sinking that winning putt!"
"MAGNET MICROFIBER GOLF TOWEL 19"" x 19""",$29.99 USD,https://detroitputterco.com/products/magnet-microfiber-golf-towel-19-x-19,"Magnetic microfiber towel with logoed medallion. Coated in silicon to prevent scratches. Size: 19"" x 19"" Absorbent and Quick Drying Mold and Mildew Resistant"
